"Vichuquén","Vichuquén"
"Villa Alegre","Villa Alegre"
"Yerbas Buenas","Yerbas Buenas"
"Bulnes","Bulnes"
"Chillán","Chillán"
"Chillán Viejo","Chillán Viejo"
"Cobquecura","Cobquecura"
"Coelemu","Coelemu"
"Coihueco","Coihueco"
"El Carmen","El Carmen"
"Ninhue","Ninhue"
"Ñiquén","Ñiquén"
"Pemuco","Pemuco"
"Pinto","Pinto"
"Portezuelo","Portezuelo"
"Quillón","Quillón"
"Quirihue","Quirihue"
"Ránquil","Ránquil"
"San Carlos","San Carlos"
"San Fabián","San Fabián"
"San Ignacio","San Ignacio"
"San Nicolás","San Nicolás"
"Treguaco","Treguaco"
"Yungay","Yungay"
"Alto Biobío","Alto Biobío"
"Antuco","Antuco"
"Arauco","Arauco"
"Cabrero","Cabrero"
"Cañete","Cañete"
"Chiguayante","Chiguayante"
"Concepción","Concepción"
"Contulmo","Contulmo"
"Coronel","Coronel"
"Curanilahue","Curanilahue"
"Florida","Florida"
"Hualpén","Hualpén"
"Hualqui","Hualqui"
"Laja","Laja"
"Lebu","Lebu"
"Los Álamos","Los Álamos"
"Los Ángeles","Los Ángeles"
"Lota","Lota"
"Mulchén","Mulchén"
"Nacimiento","Nacimiento"
"Negrete","Negrete"
"Penco","Penco"
"Quilaco","Quilaco"
"Quilleco","Quilleco"
"San Pedro de la Paz","San Pedro de la Paz"
"San Rosendo","San Rosendo"
"Santa Bárbara","Santa Bárbara"
"Santa Juana","Santa Juana"
"Talcahuano","Talcahuano"
"Tirúa","Tirúa"
"Tomé","Tomé"
"Tucapel","Tucapel"
"Yumbel","Yumbel"
"Angol","Angol"
"Carahue","Carahue"
"Cholchol","Cholchol"
"Collipulli","Collipulli"
"Cunco","Cunco"
"Curacautín","Curacautín"
"Curarrehue","Curarrehue"
"Ercilla","Ercilla"
"Freire","Freire"
"Galvarino","Galvarino"
"Gorbea","Gorbea"
"Lautaro","Lautaro"
"Loncoche","Loncoche"
"Lonquimay","Lonquimay"
"Los Sauces","Los Sauces"
"Lumaco","Lumaco"
"Melipeuco","Melipeuco"
"Nueva Imperial","Nueva Imperial"
"Padre Las Casas","Padre Las Casas"
"Perquenco","Perquenco"
"Pitrufquén","Pitrufquén"
"Pucón","Pucón"
"Purén","Purén"
"Renaico","Renaico"
"Saavedra","Saavedra"
"Temuco","Temuco"
"Teodoro Schmidt","Teodoro Schmidt"
"Toltén","Toltén"
"Traiguén","Traiguén"
"Victoria","Victoria"
"Vilcún","Vilcún"
"Villarrica","Villarrica"
"Corral","Corral"
"Futrono","Futrono"
"La Unión","La Unión"
"Lago Ranco","Lago Ranco"
"Lanco","Lanco"
"Los Lagos","Los Lagos"
"Máfil","Máfil"
"Mariquina","Mariquina"
"Paillaco","Paillaco"
"Panguipulli","Panguipulli"
"Río Bueno","Río Bueno"
"Valdivia","Valdivia"
"Ancud","Ancud"
"Calbuco","Calbuco"
"Castro","Castro"
"Chaitén","Chaitén"
"Chonchi","Chonchi"
"Cochamó","Cochamó"
"Curaco de Vélez","Curaco de Vélez"
"Dalcahue","Dalcahue"
"Fresia","Fresia"
"Frutillar","Frutillar"
"Futaleufú","Futaleufú"
"Hualaihué","Hualaihué"
"Llanquihue","Llanquihue"
"Los Muermos","Los Muermos"
"Maullín","Maullín"
"Osorno","Osorno"
"Palena","Palena"
"Puerto Montt","Puerto Montt"
"Puerto Octay","Puerto Octay"
"Puerto Varas","Puerto Varas"
"Puqueldón","Puqueldón"
"Purranque","Purranque"
"Puyehue","Puyehue"
"Queilén","Queilén"
"Quellón","Quellón"
"Quemchi","Quemchi"
"Quinchao","Quinchao"
"Río Negro","Río Negro"
"San Juan de la Costa","San Juan de la Costa"
"San Pablo","San Pablo"
"Aisén","Aisén"
"Chile Chico","Chile Chico"
"Cisnes","Cisnes"
"Cochrane","Cochrane"
"Coyhaique","Coyhaique"
"Guaitecas","Guaitecas"
"Lago Verde","Lago Verde"
"O'Higgins","O'Higgins","OHiggins"
"Río Ibáñez","Río Ibáñez"
"Tortel","Tortel"
"Antártica","Antártica"
"Cabo de Hornos","Cabo de Hornos"
"Laguna Blanca","Laguna Blanca"
"Natales","Natales"
"Porvenir","Porvenir"
"Primavera","Primavera"
"Punta Arenas","Punta Arenas"
"Río Verde","Río Verde"
"San Gregorio","San Gregorio"
"Timaukel","Timaukel"
"Torres del Paine","Torres del Paine"
